2021-07-06 15:07:48: File Created
2021-07-09 13:40:21, {"Head Offset":{"px":0.1363937,"py":1.69578922,"pz":-0.0193845034,"rx":14.995573,"ry":181.839172,"rz":22.1937237},"Hips Offset":{"px":-0.003170494,"py":1.0432328,"pz":0.0245896652,"rx":334.81546,"ry":180.538208,"rz":4.136331},"LH Offset":{"px":0.225195289,"py":1.11639762,"pz":-0.101315141,"rx":348.3435,"ry":266.959,"rz":90.94345},"RH Offset":{"px":-0.177741885,"py":1.13512743,"pz":-0.144014239,"rx":356.153748,"ry":72.21661,"rz":255.027161}}
2021-07-09 13:40:23, {"Head Offset":{"px":0.294858873,"py":1.6249758,"pz":-0.04356712,"rx":19.1979485,"ry":181.0291,"rz":50.1242332},"Hips Offset":{"px":0.0175808854,"py":1.04777265,"pz":0.03722658,"rx":336.662354,"ry":173.257813,"rz":7.890409},"LH Offset":{"px":0.2611313,"py":1.11314225,"pz":-0.07324374,"rx":344.0139,"ry":260.891541,"rz":90.08719},"RH Offset":{"px":-0.137782812,"py":1.141094,"pz":-0.144932032,"rx":359.102722,"ry":68.14124,"rz":249.9075}}
2021-07-09 14:57:04, {"Head Offset":{"px":0.0108929221,"py":0.121435165,"pz":-0.571412265,"rx":337.6115,"ry":187.329239,"rz":359.057},"Hips Offset":{"px":0.0,"py":0.0,"pz":0.0,"rx":0.0,"ry":0.0,"rz":0.0},"LH Offset":{"px":-0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":349.999969,"rz":180.0},"RH Offset":{"px":0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":10.0000048,"rz":180.0}}
2021-07-09 14:57:05, {"Head Offset":{"px":0.0109015238,"py":0.121389076,"pz":-0.571472049,"rx":337.586456,"ry":187.331192,"rz":359.055176},"Hips Offset":{"px":0.0,"py":0.0,"pz":0.0,"rx":0.0,"ry":0.0,"rz":0.0},"LH Offset":{"px":-0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":349.999969,"rz":180.0},"RH Offset":{"px":0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":10.0000048,"rz":180.0}}
2021-07-09 14:57:06, {"Head Offset":{"px":0.0109637622,"py":0.121381626,"pz":-0.5714845,"rx":337.57666,"ry":187.347946,"rz":359.032},"Hips Offset":{"px":0.0,"py":0.0,"pz":0.0,"rx":0.0,"ry":0.0,"rz":0.0},"LH Offset":{"px":-0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":349.999969,"rz":180.0},"RH Offset":{"px":0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":10.0000048,"rz":180.0}}
2021-07-09 14:57:07, {"Head Offset":{"px":0.01091074,"py":0.121415451,"pz":-0.5714058,"rx":337.583221,"ry":187.33548,"rz":359.038025},"Hips Offset":{"px":0.0,"py":0.0,"pz":0.0,"rx":0.0,"ry":0.0,"rz":0.0},"LH Offset":{"px":-0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":349.999969,"rz":180.0},"RH Offset":{"px":0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":10.0000048,"rz":180.0}}
2021-07-09 14:57:08, {"Head Offset":{"px":0.01107871,"py":0.121396869,"pz":-0.571326554,"rx":337.596222,"ry":187.357208,"rz":359.0358},"Hips Offset":{"px":0.0,"py":0.0,"pz":0.0,"rx":0.0,"ry":0.0,"rz":0.0},"LH Offset":{"px":-0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":349.999969,"rz":180.0},"RH Offset":{"px":0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":10.0000048,"rz":180.0}}
2021-07-09 14:57:08, {"Head Offset":{"px":0.010919787,"py":0.121361986,"pz":-0.5714336,"rx":337.586639,"ry":187.333939,"rz":359.042267},"Hips Offset":{"px":0.0,"py":0.0,"pz":0.0,"rx":0.0,"ry":0.0,"rz":0.0},"LH Offset":{"px":-0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":349.999969,"rz":180.0},"RH Offset":{"px":0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":10.0000048,"rz":180.0}}
2021-07-09 14:57:10, {"Head Offset":{"px":0.010901399,"py":0.121331319,"pz":-0.5714552,"rx":337.586578,"ry":187.337921,"rz":359.055634},"Hips Offset":{"px":0.0,"py":0.0,"pz":0.0,"rx":0.0,"ry":0.0,"rz":0.0},"LH Offset":{"px":-0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":349.999969,"rz":180.0},"RH Offset":{"px":0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":10.0000048,"rz":180.0}}
2021-07-09 14:57:11, {"Head Offset":{"px":0.0109174289,"py":0.121392846,"pz":-0.571419835,"rx":337.599884,"ry":187.327652,"rz":359.054352},"Hips Offset":{"px":0.0,"py":0.0,"pz":0.0,"rx":0.0,"ry":0.0,"rz":0.0},"LH Offset":{"px":-0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":349.999969,"rz":180.0},"RH Offset":{"px":0.02,"py":0.03,"pz":-0.17,"rx":300.0,"ry":10.0000048,"rz":180.0}}
